dt,open,high,low,close
2017-09-20 16:00:00,3990.7,4018.0,3987.78,4018.0
2017-09-20 17:00:00,4018.0,4022.81,3990.0,3994.71
2017-09-20 18:00:00,3994.71,3999.0,3972.03,3999.0
2017-09-20 19:00:00,3999.0,3999.0,3941.0,3952.95
2017-09-20 20:00:00,3952.55,3971.86,3949.2,3960.51
2017-09-20 21:00:00,3960.51,3971.88,3938.55,3947.92
2017-09-20 22:00:00,3947.92,3965.0,3945.37,3949.02
2017-09-20 23:00:00,3949.02,3957.02,3865.0,3872.06
2017-09-21 00:00:00,3872.07,3900.0,3811.0,3844.05
2017-09-21 01:00:00,3844.05,3863.3,3820.25,3850.08
2017-09-21 02:00:00,3850.23,3889.02,3850.19,3876.89
2017-09-21 03:00:00,3876.89,3877.01,3830.99,3833.36
2017-09-21 04:00:00,3833.36,3869.71,3820.0,3862.58
2017-09-21 05:00:00,3862.58,3877.7,3854.0,3871.89
2017-09-21 06:00:00,3871.89,3879.9,3861.56,3871.99
2017-09-21 07:00:00,3872.0,3900.54,3869.87,3898.33
2017-09-21 08:00:00,3898.52,3903.57,3854.29,3865.87
2017-09-21 09:00:00,3865.87,3872.9,3850.0,3864.25
2017-09-21 10:00:00,3863.99,3895.0,3859.0,3890.75
2017-09-21 11:00:00,3890.75,3890.75,3858.0,3862.11
2017-09-21 12:00:00,3862.11,3868.95,3848.79,3860.87
2017-09-21 13:00:00,3860.87,3876.94,3859.1,3864.96
2017-09-21 14:00:00,3864.96,3875.54,3771.43,3778.99
2017-09-21 15:00:00,3779.0,3797.97,3700.0,3755.0
2017-09-21 16:00:00,3756.77,3758.99,3641.93,3696.28
2017-09-21 17:00:00,3696.28,3739.43,3664.2,3688.58
2017-09-21 18:00:00,3688.57,3723.01,3675.0,3695.02
2017-09-21 19:00:00,3695.02,3695.02,3615.75,3634.95
2017-09-21 20:00:00,3634.94,3670.36,3571.0,3654.94
2017-09-21 21:00:00,3654.94,3707.88,3638.54,3648.97
2017-09-21 22:00:00,3648.97,3679.98,3622.89,3628.0
2017-09-21 23:00:00,3628.0,3648.42,3587.93,3617.47
2017-09-22 00:00:00,3617.47,3658.98,3605.8,3658.07
2017-09-22 01:00:00,3659.0,3680.0,3655.01,3655.01
2017-09-22 02:00:00,3655.01,3680.0,3631.01,3635.55
2017-09-22 03:00:00,3635.4,3707.14,3629.02,3704.18
2017-09-22 04:00:00,3704.18,3767.77,3684.74,3735.24
2017-09-22 05:00:00,3735.24,3753.47,3704.01,3726.57
2017-09-22 06:00:00,3726.58,3757.29,3718.87,3755.0
2017-09-22 07:00:00,3755.0,3756.0,3676.01,3678.8
2017-09-22 08:00:00,3678.8,3689.2,3640.0,3671.98
2017-09-22 09:00:00,3671.97,3671.97,3611.3,3612.19
2017-09-22 10:00:00,3612.19,3635.3,3590.0,3598.38
2017-09-22 11:00:00,3598.37,3624.94,3558.41,3558.48
2017-09-22 12:00:00,3558.49,3614.0,3540.0,3610.52
